ID,text,Ever_Gaslit,Gender,Age
2477,"i would define gaslighting as, an individual being beaten down in their own reality. Basically having someone make you feel like everything you're doing in your life is wrong. Taking your feelings and using them against you and make you just feel belittled. ",No,Female,24
2481,manipulating someone and make them question if they are the ones in the wrong or if they are being wronged. ,No,Female,20
2484,tricking someone into thinking they are crazy or delusional for thinking or feeling a certain way about something,No,Female,20
2486,I would define gaslighting as a person downgrading another person to put that at fault for something very miniscule. And degrading them in order to make yourself feel better or telling them things to get things done for yourself.,No,Female,28
2519,"Convincing someone that their own thoughts, experiences, etc are not true or valid. ",No,Female,19
2523,"Gaslighting: when a particular individual uses phrases and actions to place the blame, and make guilty another individual. Usually this is done to mask the wrong doings of the ""gaslighter""",No,Male,22
2524,Gaslighting is a type of manipulation when someone attempts to make another person think they are wrong/question what they know ,No,Female,18
2527,I think gaslighting has to do with another individual throwing you under the bus in a way. More like they are throwing hate or shade for something you did or not do.,No,Female,18
2541,when you tell someone your experience and they tell you it didn't happen.,No,Male,19
2551,A form of psychological tactic a person uses to manipulate someone else.,No,Female,19
2556,when you use weakness or a strength of another person  to get your way ,No,Male,18
2558,psychological manipulation ,No,Female,18
2569,Gaslighting is when a person is seeking to gain power and control over another person by distorting reality and forcing them to question their own intuition.,No,Female,20
2577,manipulating someone,No,Female,18
2581,"Gaslighting is a form of manipulation , in which the abuser puts confusion In the mind of the victim ",No,Male,24
2588,"Manipulating someone into believing something that is not true, which often leads to that person feeling crazy.",No,Male,19
2589,Gaslighting is a way of manipulating someone and making them feel irrational or as if they're making it up. ,No,Female,18
2592,A form of psychological abuse where a person manipulates someone into questioning and doubting themselves.,No,Female,NA
2605,"Gaslighting is convincing someone that something they believe happened never happened, or vice versa, convincing someone that something they believe never happened has happened",No,Female,20
2621,When someone who is at fault in a situation turns the blame on the other person to make it seem like it's their fault,No,Female,19
2626,"Gaslighting is when the person who gaslights tries to get out of a situation by acting like it never happened and the other side is ""delusional"" or etc.",No,Female,18
2638,"gaslighting is a dangerous and old lighting way, because it may exploded in the Coal yard, and it also could means that someone try to control other",No,Male,22
2640,when someone makes you feel bad for something that you did and they try to flip the script on you to make it seem like you did something wrong,No,Female,20
2651,Gaslighting occur when someone or something tries to change your mental thought and cause yourself to doubt.,No,Male,18
2652,Using manipulative tactics to get one's way.,No,Male,20
2656,Twisting reality for your own sanity,No,Female,19
2658,being sarcastic  making it sound like a compliment but it's really not,No,Female,19
2666,"gaslighting= the act of making an individual feel at fault for an act they had no part in, or feel crazy for a situation that occurred by denying its existence.",No,Female,18
2671,Deceiving someone into seeing themselves differently than they actually are,No,Male,22
2677,manipulation someone into believing something that isn't true,No,Male,18
2688,gaslighting is altering your words so that it will affects another person's emotions in a negative way on purpose ,No,Female,19
2692,"Gaslighting is when a person is doing something. For example, if a partner is abusive towards their partner and denied it. ",No,Female,19
2695,When someone manipulates another person into thinking something they perviously believed is untrue through causing self doubt and confusion.,No,Female,21
2699,"When someone tells you something untrue or false, especially when it's obviously the opposite.  They can be so adamant that you may begin to doubt the truth.    ",No,,NA
2713,when someone tried to make you think you are crazy for believing something that is true that they did to you,No,Female,22
2720,"Gaslighting is a term used when a person ignores or does not understand someone's opinion or emotions and uses emotions or opinions against the person. For example, when a person communicates with their partner about a situation that makes them uncomfortable, a gaslighter would then use that situation and try to prove that it is their partner's fault for feeling uncomfortable or that the partner is blowing things out of proportion.",No,Female,NA
2723,Gaslighting is a manipulative term used to persuade someone that they are doing something or acting in a way that is affecting them and therefore that person thinks that it's true. The abuser tries to plant a false description of the victim in their head causing self doubt.,No,Female,19
2736,Using psychological methods to flip things.,No,Female,19
2747,I think gaslighting is when someone lies to you to make you believe something they want you to believe.,No,Female,20
2753,manipulating someone into thinking they are what other people say,No,Female,18
2754,gaslighting in my word makes me think that someone is making you feel wrong at what you are doing even if you are right ,No,Female,19
2757,Gaslighting is essentially a form of manipulation that one can use on another individual causing them to question their own thoughts and judgments. ,No,Male,19
2758,To manipulate someone into thinking they are at fault for something or even to have them feel a certain emotion.     Such as an abusive lover telling their significant other their mind is not in the right place and they aren't thinking clearly and thus their fault.,No,Male,22
2763,The act of giving false information about an occurrence to attempt to alter an individuals perception of the event to either make the perpetrator look better or make the victim look worse.,No,Male,21
2765,When you are coaxed into believing or doing something without knowing.,No,Female,18
2767,"I would describe gaslighting as manipulating the truth to put yourself in a better position. So a boyfriend lying to his girlfriend that ""she's crazy"" for thinking he's cheating on her.",No,Female,18
2776,Gaslighting is when someone discredits someone else's emotions or view points with the reasoning that they don't know what they are talking about. ,No,Female,20
2779,manipulating people not to believe their original opinions.,No,Female,18
2780,Gaslighting is a form of manipulation. It's when someone tries to convince you of something you know to be true.  ,No,Female,18
2816,It's something someone is trying to make you believe it's your fault or change your mind.,No,Female,18
2817,Gas lighting to me is being manipulative and not realizing what you did. ,No,Female,21
2818,Making someone believe they did something when they really didn't ,No,Male,22
2820,"Gaslighting is when someone tries to manipulate another person into doubting their own thoughts, feelings, and memories. It's like someone is trying to make you question your own sanity or perception of reality. ",No,Female,20
2821,Gaslighting is when another person purposely tries to convince you you don't feel a certain way or something didn't happen.,No,Male,18
2823,When someone is manipulating someone else to get them to do or think of what they want them to do or think. ,No,Female,20
2828,ITS NOT REAL,No,Male,18
2841,Gaslighting is when you manipulate someone into doing or saying something you want them to say. You guilt trip them into doing or saying something they don't want to. You try to victim blame the actual victim. ,No,Female,18
2844,"Gaslighting is a form of psychological manipulation in which a person or group of people  allows the victim to gradually begin to doubt themselves, causing them to question perception or judgment. Thus, the controller can manipulate the victims to follow his or her rules.",No,Male,22
2846,Gaslighting is manipulating person's mind to think everything is on his/hers fault by making them question about themselves.,No,Female,21
2851,Gaslighting is when someone attempts to persuade you from something that you know is true or believe. ,No,Female,19
2858,Someone making you feel like you did something wrong when you didn't,No,Female,18
2869,Trying to get someone to believe what the other person is trying to convey. ,No,Female,19
2875,When you try to manipulate someone into making them question themselves. ,No,Female,19
2892,Lying to someone to make them feel a certain way,No,Male,20
2906,The action of convincing someone what they think is true is actually false and they are mistaken.,No,Male,19
2917,Mean intentionally triggering someone to make them upset ,No,Female,20
2921,Making people believe something that's not true or did not happen,No,Female,19
2922,"Manipulating someone into thinking they are ""crazy"" or unstable.",No,Female,19
2924,psychological manipulation in which an abuser attempts to make you doubt yourself ,No,Female,19
2931,when someone makes you feel crazy for feeling or thinking a certain way ,No,Female,20
2935,Using your words to convince someone that they are in the wrong or crazy when initially you are the original problem,No,Male,18
2945,It is when somebody tries to be manipulative and put the blame on someone else even though they themselves were the one to blame,No,Female,18
2970,when a person slowly chips away at sanity your preception of reality  is skewed due to extreme emotinal munlipulation ,No,Female,21
2976,turning on the gas,No,Male,22
2977,Making someone think they are crazy for thinking something you do not agree with or believing something happened when you want them to believe it did not. ,No,Female,19
2979,manipulating someone else into thinking that they are wrong or at fault for something that they are not.,No,Male,18
2990,convincing someone to believe something that is not true,No,Female,18
3000,gaslighting is when you express how you are feeling about something and someone dismisses you and tells you that you are wrong and not valid instead of accepting them.,No,Female,20
3003,When a person leads on or makes another person think or believe something that makes them question that statement.,No,Male,19
3009,Gaslighting is when you begin to doubt your judgement due to others.,No,Male,21
3011,when someone manipulates you into questioning yourself. ,No,Female,19
3026,Gaslighting is when some tries to manipulate or sway somebody else a specific way through questioning themselves and doubting their own reasonings. ,No,Female,18
3027,"To make someone beileve or hope that one thing will occur when they know that the reality is very different. To be honest though, even I don't really know what gaslighting is. Such a thrown around word. ",No,Male,20
3038,Gaslighting is a type of abuse. It happens when the abuser attempts to plant ideas in the abused person's mind about things that didn't really happen.,No,Male,19
3040,Purposeful manipulation of someone's reality,No,Female,19
3041,convincing someone that what they are experiencing/have experienced is not how things actually happened ,No,Male,22
3047,A form of manipulation.,No,Female,20
3049,"I think gaslighting is when someone, wittingly or unwittingly, makes someone else doubt reality. If someone kept saying something that hurts someone else but then denied ever saying it every time they're called out for saying it to the point that the second person is seriously questioning whether it actually happened despite it being a constant thing, then I'd call that gaslighting.",No,Female,29
3074,Gaslighting is convincing someone that they are always in the wrong and making them feel crazy by confusing them. It is using manipulation to have control over others.,No,Female,18
3081,Gaslighting is when somebody manipulates someone else into believing something about themselves that is not true. ,No,Female,19
3090,"Gaslighting is a form of psychological manipulation in which a person or group makes someone question their own sanity, memory, or perception of reality. This can be done by denying facts, distorting the truth, or presenting false information in a way that makes the victim doubt their own thoughts and experiences. ",No,Male,20
3095,"gaslighting is when someone manipulates someone into thinking that something false is real, to the point where they begin to question their reality",No,Female,19
3128,"Gaslighting is when someone makes you think that you are in the person in the wrong, they manipulate you. For example, if your are arguing with someone and they make you seem like you are crazy. ",No,Female,28
3130,"manipulating another person to feel as if their emotions and thoughts are not grounded in reality, and that they are making up situations, memories, or reasons for worry",No,Female,20
3135,Form of manipulation that causes self-doubt. ,No,Female,20
3138,A person manipulating your own perception of reality to suit their own goals.,No,Female,22
3147,"Someone putting a thought in someone else's mind and making it seem like fact. Like if I told my friend that he borrowed $5 from me and now he owes me, even if this never happened.",No,Male,21
3157,When someone convinces you you're crazy when they are the ones lying.,No,Female,NA
3158,"Gaslighting is making someone believe something that isn't true by continuously lying to them, acting like they're the crazy one (not the liar). ",No,Female,19
3159,Manipulating someone genuinely believe false information,No,Female,20
3164,Gaslighting is to manipulate someone using psychological act to make the other person feel less confident about themselves. ,No,Female,21
3174,"gaslighting is when a person hurts someone else emotionally and when that person expresses how/why their feelings are hurt, the gaslighter will then do whatever they can to make them go back on their beliefs and  invalidate them",No,Female,22
3175,"Gaslighting can be characterized as someone deliberately insulting another person in a manner which does not match the action which provoked the gaslighting in the first place. Purposely making someone feel less-than, stupid, and wrong when the supposed reason for such comments does not warrant them.",No,Male,21
3182,"gaslighting is manipulative, making someone question their own reality",No,Female,30
3199,that you are being lied to in order for your opion to change and you doubt your real thought,No,Female,19
3207,Being mean and saying mean comments to someone. ,No,Female,19
3223,I think gaslighting means manipulating someone into thinking they are making problems but in reality it is the other way around. ,No,Male,22
3227,When someone tries to confuse you by telling you incorrect things as a form of manipulation. ,No,Female,21
3245,"Gaslighting is when someone tells another that their thoughts, memories, and/or emotions are incorrect or disproportional despite knowing otherwise-- usually causing feelings of isolation or like they're going crazy",No,,25
3247,I think gaslighting is when you try and convince someone of something you know is not true by essentially telling them they are wrong for believing the truth. ,No,Male,22
3254,"A form of covert manipulation with the goal of making the target believe something that isn't real, in spite of their own senses and other sources of knowledge.",No,Male,30
3259,"Gaslighting is when you tell a person so many things that they are when most of the time they are not, boosting their egos and self-esteem.",No,Male,19
3270,making people feel unsure ,No,Male,23
3282,Making someone doubt their own thought or memories by having others doubt them.,No,Female,22
3285,I never had a situation in my life. so I don't know about that.,No,Female,19
3287,"Gaslighting is the act of deceiving someone into thinking that their emotions are inherently invalid, or invalidating their experiences",No,Female,18
3289,Gaslighting is when someone tricks you into thinking one thing that is the opposite of what you thought before. ,No,Female,20
3290,"Gaslighting is a form of manipulation that causes a person to feel confused and to question their own beliefs, ideas, and actions. ",No,Female,19
3299,"Gaslighting means the manipulation and abuse in which a person causes someone to doubt their own sanity, memory, or judgment.",No,Female,18
3306,When one person purposefully confuses someone else with self-fulfillment in mind.,No,Female,19
3308,When someone tries to make you believe something that will make you question your perception to try and implant their reality to manipulate you.,No,Male,20
3312,making someone question themselves or manipulation,No,Female,18
3313,Trying to make someone believe what isn't actually true,No,Female,18
3320,gaslighting is lying for your own benefit ,No,Female,18
3322,Gaslighting is a way of manipulating people by forcing them to question their doubts and judgement,No,Female,18
3325,Trying to make some doubt themselves and their perception of reality.,No,Male,18
3329,Gaslighting is manipulating one to doubt themselves or what they may be thinking.,No,Female,18
3335,Gaslighting is a psychological manipulation. ,No,Female,18
3336,Gaslighting is when someone tries to manipulate someone to believe they did or did not do something.,No,Male,18
3341,"Convincing someone that they thought, understood, or remembered something incorrectly for your benefit",No,Female,23
3342,Gaslighting is attempting to make someone believe something to be true or to have happened when it did not.,No,Male,19
3344,when someone tries to make others think that it's their fault by belittling what is being said.,No,Female,19
3350,"gaslighting is when someone is telling you something that is not true and can make you believe that it is true. If someone told me that Micheal Myers was real and they spent everyday convincing me that it was then I believed them, they would be gaslighting me into thinking that Michael Myers is real.",No,Female,18
3359,gaslighting is when someone says something and tricks you into thinking it is true,No,Female,21
3364,When someone does something and then either tries to deflect blame or act like it never happened. Like oh I would not have done this if you didnt do this. ,No,Male,18
3369,gaslighting is tricking someone mentally.   - by changing the way they think about certain thing ,No,Female,19
3371,abuse,No,Female,19
3378,Gaslighting is when you manipulate someone into second-guessing themselves and their thoughts ,No,Female,18
3381,"I believe gaslighting is convincing someone that their opinions, emotions, reactions, feelings, and actions are not justified, knowing they are. It revolves around a person's purposefully debasing and invalidating another person's emotions, to make themselves look like the victim. ",No,Female,20
3392,"When you inplant a false memory in someone like something happened that actually didn't, or vice versa.",No,Male,18
3397,manipulation to others ,No,Female,19
3399,Gaslighting is a manipulation tactic that a person/people can use to make someone doubt themselves or question their judgement,No,Female,18
3403,Gaslighting is when someone deliberately and consciously engages in an action and then deliberately and consciously works to convince a person affected by that action that they haven't done it.,No,Female,28
3404,"Gaslighting is recurrently leading someone to believe that they're in the wrong, or to make them distrust their own mind and abilities for the gaslighter's benefit.",No,Male,19
3415,Manipulating a person into believing a false statement ,No,Male,19
3417,Gaslighting is basically mind games making people get tripped up because you are twisting there words,No,Male,19
3418,Gaslighting is considered as making someone believe something that is clearly not true. It is almost a placebo effect.,No,Female,19
3434,"Gaslighting is when someone knows the truth about a situation, usually one that they are at fault for, and will lie and manipulate their victim into believing the gaslighter's version of the story.",No,Female,20
3454,Subverting someone's view of reality through manipulation whether that be outright denying it or by subtly challenging it,No,Male,19
3458,Intentionally lying to someone to trick them for your own gain,No,Male,21
3477,Attempting to convince someone that their perspective is not valid or true,No,Female,20
3480,"Gaslighting is a form of manipulation where someone is being lied to, causing them to question their beliefs or answers. It is usually so that the blame gets taken off of the gaslighter and onto the one being gaslit. ",No,Female,19
3517,Repeatedly trying to change what is a fact in order to warp ones perception. Basically extreme lying so the person agrees with them instead. ,No,Female,19
3520,Gaslighting is when someone tells you something about yourself so much that you believe it. ,No,Female,19
3528,when you manipulating someone.,No,Female,19
3547,a form of manipulation used to make a victim question what they know is true.,No,Female,20
3555,Manipulating someone into thinking their concerns aren't valid,No,Female,19
3556,"Gaslighting is a form of manipulation in which an individual makes the other feel at fault or wrong--as if they have forgotten something, in an attempt to either make the other person feel crazy and guilty when it is actually the other way around. ",No,Female,19
3558,Gaslighting is when you manipulate someone by using their emotions or their actions to gain something,No,Male,18
3562,Gaslighting is actively convincing or trying to convince someone that something did or did not happen. ,No,Female,19
3567,Well gaslighting is making someone think that what is happening is their fault or they are the reason its happening.,No,Male,19
3569,Gaslighting is the persuasive deflection of blame/responsibility to another party.,No,Male,19
3574,"Gaslighting is a form of psychological manipulation aimed at making the victim doubt their own memory, perception, and sanity. It typically involves denial, distortion of facts, baseless accusations, undermining the victim's beliefs and perceptions, and creating confusion. ",No,Male,20
3575,"A form of manipulation where both parties know a certain truth or event, but one party denies the event occurring, therefore manipulating the other party. ",No,Female,20
3576,Gas lighting is putting the blame on someone after it's been addressed that you've done something unforgivable. ,No,Female,19
3591,"Gaslighting is a form of psychological manipulation in which a person seeks to sow seeds of doubt in a targeted individual or in members of a targeted group, making them question their own memory, perception, or sanity. ",No,Female,21
3595,Defending a fictional account of a situation to the point of making the other person question their perception of reality.  Usually a tactic of emotional manipulation/abuse,No,,20
177,"Gaslighting is a manipulation strategy. Gaslighting is when you attempt to manipulate someone by making them feel self doubt. One way to gaslight someone is by lying and denying things so that the person could feel  confused or uncertain, and question their memory. Another form of gaslighting is using what you love against you. This is a manipulative tactic used by the gaslighter, causing the person to question themselves and things they hold close. For example. if the person loves their job, the gaslighter will find issues with it. If they have children, the gaslighter will make them believe they should not have had them, that they're a poor parent.   ",Yes,Female,19
553,"Gaslighting is a manipulation tactic in which the one doing the gaslighting is making the person being gaslighted question themselves, their reality, their memory, and their perception of the world around them.",Yes,Female,21
556,"Gaslighting someone is to try and make someone feel a different way than how they originally felt, or as if that original feeling is not a real life feeling and is just made up to be dramatic or something like that.",Yes,Female,18
699,knowing you are wrong when arguing with someone but you still have the opposite opinion.,Yes,Male,18
1002,Causing someone to question themselves or have self-doubt about something but specifically their sanity.,Yes,Female,18
1023,Gaslighting is one manipulating an individual or individuals by making themselves victim and distorting reality.,Yes,Female,18
1642,Gaslighting is when the person at fault in a situation tries to change the narrative and make it seem as though the accuser does not know what they are talking about and is the actual person at fault.,Yes,Male,18
1658,"In its most simple form, the act of gaslighting occurs when one person/group  psychologically manipulates another person/group into disbelieving their own perception of reality, often through Person A asserting the occurrence of a false series of events and making Person B question their own sanity.",Yes,,24
1707,"making someone believe something that is not true, used for your own benefit. it is a form of physical abuse if done repeatedly. ",Yes,Female,19
1744,Gaslighting is a form of manipulation when one person makes another person question and not believe their reality. ,Yes,Female,18
2124,To lead someone on,Yes,Female,19
2125,"Gaslighting is when you try to convince someone that their version, or they temselves, are wrong. It is often trying to turn the person against themself leading to large self-doubt and questioning. ",Yes,Female,21
2126,manipulation; makes you question your own sanity ,Yes,Female,22
2127,"Gaslighting occurs when someone intentionally gets someone riled up over a divisive issue using some sort of trigger (i.e. news and social media, trauma)",Yes,Male,21
2128,"Form of manipulation, leading someone to think that they're imagining something when it's actually there.",Yes,Female,19
2129,People making you think you are going crazy,Yes,Female,21
2131,Convincing someone else that their beliefs or ideas are unfounded or making them feel stupid for their ideas.,Yes,Female,19
2132,My opinion of gaslighting is someone making you feel wrong or crazy when you present them truth about how you feel or about a situation you experienced. When someone deems your truth a lie or tries to make you doubt that what happened actually happened the way it did.,Yes,Female,27
2135,I would say it is the un-ironic and intentional lying to or spreading of misinformation for the purposes of convincing the other party that they are wrong.,Yes,Male,22
2136,When someone blames you or your actions for your shortcomings,Yes,Male,22
2137,Purposefully making someone think that a what they know as a lie that you told is just them making it up,Yes,Male,22
2138,the use of manipulation to devalue one's experience and/or feelings. ,Yes,Female,20
2139,My definition of gaslighting to me is when a person makes a victim feel as if they're at fault for whatever predicament they're in and makes them feel incompetent. Nothing the victim does will be good enough for the person. ,Yes,Female,29
2140,I think it is a form of invalidating feelings or the other person twisting the truth to make it seem like they are not at fault,Yes,Female,20
2142,"Gaslighting has become over used in real life and has lots its meaning. I think of gaslighting as making someone question their reality by acting like what they noticed or what happened never happened. Or, it's downplaying the seriousness of what they say. It's a form of manipulation. ",Yes,Female,19
2144,Gaslighting can be defined as person or yourself telling a characteristic about yourself that isn't true or explaining an action that someone did that they didn't do. And making that person feel like they did it. ,Yes,Female,25
2150,manipulating someone into believing they are wrong or that their opinion does not matter,Yes,Female,20
2152,A type of manipulative tactic abusers use to confuse their victims. ,Yes,Female,19
2153,Making someone else feel like theyre always in the wrong ,Yes,Female,19
2155,Convincing somebody that they are crazy for believing the truth.,Yes,Female,23
2156,When someone tries to make you believe that something you think is untrue when it is,Yes,Female,19
2157,Gaslighting occurs when one person is avoiding the accountability of their transgression towards another person by convincing them that they are overreacting or being irrational. ,Yes,Female,22
2162,"One person manipulating another into thinking they are wrong about something they know to be true, making someone question their reality",Yes,Female,22
2170,convincing someone they are wrong when they are not,Yes,Female,20
2180,using the emotions of others to make them feel bad ,Yes,Female,20
2182,Manipulating someone into thinking something isn't true or questioning their belief of something ,Yes,Female,26
2186,"Another person making you question your reality (what you said, your morals, what you did, etc.) through manipulation ",Yes,Female,22
2187,"When someone manipulates you to feel crazy or illogical, even if you are right.",Yes,Female,21
2188,When someone makes another people feel bad about something by blowing the situation up more to make them feel worse.,Yes,Female,19
2189,When someone makes you feel crazy for feeling a certain and making you belive what you feel is not right ,Yes,Female,24
2190,Gaslighting is when you're being told things that aren't true to make you question whether those events really happened. You're made to believe that you were in the wrong when that might not be the case at all. ,Yes,Female,23
2191,Lying to someone to keep doing something that benefits you.,Yes,Male,22
2192,"Gaslighting, is provoking someone to get a response",Yes,Female,20
2193,"Gaslighting is when someone tries to make you believe that you have warped perception/judgement. For example, saying ""you're crazy"" ""that never happened"" when you bring up something that did happen.",Yes,Female,21
2194,The Manipulation of someone else's reality,Yes,Male,23
2195,Gaslighting is trying to trick someone into thinking they are in the wrong by making them think they are crazy or flawed.,Yes,Male,23
2196,Gaslighting is when someone persuades you to doubt or completely change your opinion on something you know to be true.,Yes,Male,20
2204,"In my opinion, gaslighting is one of the worst positions to be put into/feel. I feel like gaslighting takes away a lot of voices away. Having the need to speak out or talk  about how you feel to someone is important in relationships, friendships, and everyday social interactions.     Allow me to give an example, you and your significant other are having a argument over how they treat you. You do the best you can to try and express your feelings and instead of them listening and attempting to understand they bring up scenarios/things you've done so they put the blame on you.     Gaslighting takes away an individuals right to express their emotions by someone else who cannot control theirs. The gaslighter has the need to blame whatever issue on anyone other than themselves. ",Yes,Female,18
2209,"I define gaslighting as someone trying to make you believe that you are wrong when you are not, or someone manipulating you into believing something.",Yes,Female,19
2210,"Gaslighting is a manipulation of a person's feelings. It's denying their feelings, making them question their own thoughts, not validating what they feel, etc. ",Yes,Female,20
2211,Gaslighting is when someone else tries to make you believe that the way you're feeling is not valid. Either because they mistreated you and deny it or because they claim you are overreacting to something they claim is minor.,Yes,Female,18
2213,Gaslighting is when someone is being manipulative to get their own way. Or they twist a story to make it seem like it was someone else's own fault instead of their own.,Yes,Female,18
2214,making someone else feel like they are crazy and their opinions are not valid; this often causes the victim to doubt their own reality and emotions,Yes,Female,19
2215,Gaslighting is a manipulative tactic used to make a person question their own point of view or sense of reality,Yes,Female,18
2217,Gaslighting is making someone believe something that is not true but by degradation.,Yes,Female,19
2218,When someone intentionally makes your actions or emotions invalid or negative. When someone makes you feel like you need to be better or makes you doubt yourself.,Yes,Female,18
2221,gaslighting is when someone belittles your your emotions and make you feel like what you feel is not important. They tend to make everything your fault as well. ,Yes,Female,20
2224,when someone tries to make you feel guilty about your reaction to their mistake.,Yes,Female,18
2225,"gaslighting is a form of manipulation where the manipulator will make the other person question themselves. for example, someone gaslighting another would say, ""I think you're being dramatic."" or ""that never happened. what REALLY happened was...""",Yes,Female,18
2226,Using manipulative tactics to convince someone that they are insane when why actually aren't which gradually pushing them towards psychosis. ,Yes,Female,NA
2227,"Gaslighting is when one minimizes a raised area of concern from their partner, friend, co worker etc. Gaslighting can make an individual feel 'crazy' and accused of being 'argumentative' when bringing up a problem (to solve). ",Yes,Female,19
